Word,Count
chief,1
justice,1
roberts,1
president,3
carter,1
clintonpresident,1
bush,1
fellow,1
americans,4
and,56
people,10
of,38
the,62
world,4
–,14
thank,3
you,12
we,41
citizens,2
america,16
have,9
now,5
joined,1
a,12
great,6
national,2
effort,1
to,32
rebuild,1
our,30
county,1
restore,1
its,3
promise,1
for,13
all,12
together,5
will,40
determine,1
course,1
many,3
years,2
come,1
face,2
challenges,1
confront,1
hardships,1
but,10
get,2
job,1
done,2
every,7
four,1
gather,1
on,7
these,3
steps,1
carry,1
out,2
orderly,1
peaceful,1
transfer,1
power,3
are,11
grateful,1
obama,2
first,4
lady,1
michelle,1
their,8
gracious,1
aid,1
throughout,1
this,9
transition,1
they,4
been,5
magnificent,1
today’s,1
ceremony,1
however,1
has,6
very,1
special,1
meaning,1
because,2
today,6
not,8
merely,1
transferring,2
from,8
one,7
administration,1
another,1
it,9
washington,2
dc,1
giving,1
back,6
too,1
long,1
small,2
group,1
in,11
nation’s,1
capital,2
reaped,1
rewards,1
government,3
while,6
borne,1
cost,1
flourished,1
did,1
share,2
wealth,3
politicians,2
prospered,1
jobs,3
left,2
factories,3
closedthe,1
establishment,1
protected,4
itself,1
country,5
victories,2
your,9
triumphs,2
celebrated,1
there,3
little,1
celebrate,1
struggling,1
families,3
across,4
land,2
that,7
changes,1
starting,1
right,3
here,3
moment,2
is,20
belongs,2
everyone,4
gathered,1
watching,1
daythis,1
celebrationand,1
united,3
states,1
countrywhat,1
truly,1
matters,1
what,1
party,1
controls,1
controlled,1
by,6
january,1
20,1
2017,1
be,10
remembered,1
as,3
day,3
became,1
rulers,1
nation,7
againthe,1
forgotten,2
men,2
women,2
no,5
longer,2
listening,1
came,1
tens,1
millions,3
become,1
part,1
historic,1
movement,2
likes,1
which,4
never,6
seen,1
before,2
at,5
centre,1
crucial,1
conviction,1
exists,1
serve,1
citizensamericans,1
want,1
schools,1
children,2
safe,2
neighbourhoods,1
good,3
themselves,1
just,1
reasonable,1
demandsmothers,1
trapped,1
poverty,1
inner,1
cities,1
rusted,1
scattered,1
like,2
tombstones,1
landscape,1
an,3
education,1
system,1
flushed,1
with,6
cash,1
leaves,1
young,1
beautiful,1
students,1
deprived,1
knowledge,1
crime,1
gangs,1
drugs,1
deprive,1
so,3
much,1
unrealised,1
potential,1
pain,2
dreams,5
home,1
glorious,2
destiny,1
i,3
take,1
oath,1
allegiance,3
decades,1
we’ve,1
enriched,1
foreign,3
industry,2
expense,1
american,9
subsidised,1
armies,1
other,4
countries,2
allowing,1
sad,1
depletion,1
own,1
military,2
weve,1
defended,1
nations’,1
borders,2
refusing,1
defend,1
ownand,1
spent,1
trillions,2
dollars,1
overseas,1
america’s,1
infrastructure,1
fallen,1
into,1
disrepair,1
decay,1
made,2
rich,1
strength,2
confidence,1
dissipated,1
over,2
horizon,1
shutters,1
closed,1
without,1
even,2
thought,1
about,2
those,1
who,2
behind,1
past,1
looking,1
only,3
future,1
assembled,1
issuing,1
new,7
decree,1
heard,1
city,2
hall,1
vision,1
govern,1
onwards,1
going,1
decision,1
trade,1
taxes,1
immigration,1
affairs,1
benefit,1
workers,1
protection,1
lead,1
prosperity,1
fight,2
bone,1
my,1
body,1
ever,1
let,1
down,1
start,2
winning,2
again,7
bring,5
roads,2
high,1
bridges,1
tunnels,1
railways,1
wonderful,1
off,1
welfare,1
work,1
rebuilding,1
hands,1
labour,1
follow,1
two,1
simple,1
rules,1
buy,1
hire,1
see,1
nations,3
do,2
understanding,1
put,1
shine,1
followwe,1
reinforce,1
old,2
alliances,1
form,1
ones,1
untie,1
against,1
radical,1
islamic,1
terrorism,1
eradicate,1
earth,2
bed,1
rock,1
politics,1
statesand,1
discover,1
each,1
room,1
prejudice,1
bible,1
tells,1
us,2
how,1
pleasant,1
when,2
god’s,1
live,2
unitywhen,1
totally,1
unstoppable,1
fear,1
always,2
most,1
importantly,1
god,3
finally,1
must,1
think,1
big,1
dream,2
bigger,1
know,1
striving,1
accept,1
complaining,1
doing,1
anything,1
itthe,1
time,2
empty,1
talk,1
arrives,1
hour,1
action,1
allow,1
anyone,1
tell,1
cannot,1
challenge,1
can,1
match,1
heart,1
spirit,1
fail,1
thrive,1
prosper,1
stand,1
birth,1
millennium,1
ready,1
unlock,1
mysteries,1
space,1
free,1
miseries,1
disease,1
harvest,1
energies,1
industries,1
technologies,1
tomorrow,1
pride,1
stir,1
ourselves,1
lift,1
sights,1
heal,1
divisions,1
it’s,1
remember,1
wisdom,1
soldiers,1
forget,1
whether,2
black,1
or,3
brown,1
white,1
bleed,1
same,6
red,1
blood,1
patriots,1
enjoy,1
freedoms,1
salute,1
flag,1
child,1
born,1
urban,1
sprawl,1
detroit,1
windswept,1
plains,1
nebraska,1
look,1
night,1
sky,1
infused,1
breath,1
almighty,1
creator,1
near,1
far,1
large,1
mountain,2
ocean,2
hear,1
words,1
ignored,1
voice,1
hopes,1
define,1
destinyyour,1
courage,1
goodness,1
love,1
forever,1
guide,1
along,1
way,1
make,4
strong,1
wealthy,1
yes,1
bless,2
